family	tridepth	nsp
Exocoetidae	Shallow	23
Blenniidae	Shallow	59
Blenniidae	Intermediate	2
Blenniidae	Deep	1
Pomacentridae	Shallow	217
Soleidae	Shallow	13
Soleidae	Intermediate	10
Soleidae	Deep	1
Bothidae	Shallow	8
Bothidae	Intermediate	13
Bothidae	Deep	1
Pleuronectidae	Shallow	3
Pleuronectidae	Intermediate	22
Pleuronectidae	Deep	11
Paralichthyidae	Shallow	15
Paralichthyidae	Intermediate	9
Carangidae	Shallow	55
Carangidae	Intermediate	31
Carangidae	Deep	1
Gobiidae	Shallow	176
Gobiidae	Intermediate	4
Gobiidae	Deep	1
Apogonidae	Shallow	63
Apogonidae	Intermediate	1
Syngnathidae	Shallow	48
Syngnathidae	Intermediate	2
Mullidae	Shallow	27
Mullidae	Intermediate	4
Scombridae	Intermediate	15
Scombridae	Shallow	15
Scombridae	Deep	2
Psychrolutidae	Shallow	17
Psychrolutidae	Intermediate	35
Psychrolutidae	Deep	8
Agonidae	Intermediate	23
Agonidae	Shallow	8
Agonidae	Deep	1
Liparidae	Deep	25
Liparidae	Intermediate	17
Liparidae	Shallow	8
Zoarcidae	Deep	32
Zoarcidae	Intermediate	33
Zoarcidae	Shallow	6
Triglidae	Shallow	12
Triglidae	Intermediate	11
Sebastidae	Intermediate	55
Sebastidae	Shallow	18
Sebastidae	Deep	12
Platycephalidae	Shallow	17
Platycephalidae	Intermediate	6
Serranidae	Shallow	133
Serranidae	Intermediate	48
Notothenioid	Intermediate	51
Notothenioid	Deep	13
Notothenioid	Shallow	7
Haemulidae	Shallow	53
Haemulidae	Intermediate	1
Lutjanidae	Shallow	52
Lutjanidae	Intermediate	18
Pomacanthidae	Shallow	49
Pomacanthidae	Intermediate	1
Chaetodontidae	Shallow	85
Chaetodontidae	Intermediate	6
Sparidae	Shallow	32
Sparidae	Intermediate	16
Nemipteridae	Shallow	19
Nemipteridae	Intermediate	3
Lethrinidae	Shallow	26
Lethrinidae	Intermediate	2
Sciaenidae	Shallow	41
Sciaenidae	Intermediate	5
Acanthuridae	Shallow	57
Acanthuridae	Intermediate	2
Tetraodontidae	Shallow	38
Tetraodontidae	Intermediate	4
Monacanthidae	Shallow	29
Monacanthidae	Intermediate	6
Monacanthidae	Deep	1
Balistidae	Shallow	27
Balistidae	Intermediate	3
Antennariidae	Shallow	21
Antennariidae	Intermediate	5
Labridae	Shallow	270
Labridae	Intermediate	6
Ophidiidae	Shallow	7
Ophidiidae	Intermediate	13
Ophidiidae	Deep	8
Holocentridae	Shallow	36
Holocentridae	Intermediate	5
Macrouridae	Intermediate	24
Macrouridae	Deep	58
Moridae	Intermediate	9
Moridae	Deep	14
Moridae	Shallow	2
Myctophidae	Intermediate	38
Myctophidae	Deep	56
Stomiidae	Intermediate	3
Stomiidae	Deep	32
Stomiidae	Shallow	1
Sternoptychidae	Intermediate	9
Sternoptychidae	Deep	10
Sternoptychidae	Shallow	2
Clupeidae	Shallow	70
Clupeidae	Intermediate	13
Ophichthidae	Shallow	21
Ophichthidae	Intermediate	6
Muraenidae	Intermediate	9
Muraenidae	Shallow	43
