family	observed_num	expected_quartile0.05	expected_median	expected_quartile0.95
Exocoetidae	0	0	1	6.05
Blenniidae	4	2	7	20.05
Pomacentridae	1	6.95	15	43.1
Soleidae	13	1	4	14.05
Bothidae	6	0	3	8
Pleuronectidae	11	0	2	6
Paralichthyidae	12	0	3	9.05
Carangidae	22	3	8	26.05
Gobiidae	10	14.95	28.5	73.05
Apogonidae	2	3	7.5	26
Syngnathidae	4	1.95	7	19.1
Mullidae	4	0.95	4	12
Scombridae	13	0	3	9.05
Psychrolutidae	14	1	4	14.05
Agonidae	7	0	2	8.05
Liparidae	18	0	3	9.1
Zoarcidae	23	0	2	9
Triglidae	6	0	2	6.05
Sebastidae	17	0	2	9
Platycephalidae	8	0	4	11
Serranidae	44	9	19	46.15
Notothenioid	14	0	4	11
Haemulidae	2	1.95	5	16.05
Lutjanidae	12	1	5	15
Pomacanthidae	1	1	4	14
Chaetodontidae	7	1	5	15
Sparidae	11	1	5	17
Nemipteridae	3	0	3	8.05
Lethrinidae	3	0	3	9
Sciaenidae	5	1	7	17
Acanthuridae	2	0	3	13
Tetraodontidae	4	1	4	12
Monacanthidae	8	0	3	12
Balistidae	3	0	3	9
Antennariidae	7	0	3	11
Labridae	10	17	29	76.05
Ophidiidae	13	1	5	16
Holocentridae	6	0	3	8
Macrouridae	17	1.95	7	17.1
Moridae	8	0	3	9
Myctophidae	34	4.95	14	32.05
Stomiidae	6	2	7	21
Sternoptychidae	11	0	3	11
Clupeidae	15	6	14	34
Ophichthidae	9	1	5	13.05
Muraenidae	9	2	9	22
