Sample	Group
SAMPLE1	Control
SAMPLE2	Control
SAMPLE3	Control
SAMPLE4	Control
SAMPLE5	Control
SAMPLE6	Control
SAMPLE7	Control
SAMPLE8	Control
SAMPLE9	Control
SAMPLE10	Control
SAMPLE11	Control
SAMPLE12	Control
SAMPLE13	Control
SAMPLE14	Control
SAMPLE15	Control
SAMPLE16	Control
SAMPLE17	Control
SAMPLE18	Control
SAMPLE19	Control
SAMPLE20	Control
SAMPLE21	Control
SAMPLE22	Control
SAMPLE23	Control
SAMPLE24	Control
SAMPLE25	Control
SAMPLE26	Control
SAMPLE27	Control
SAMPLE28	Control
SAMPLE29	Treatment
SAMPLE30	Treatment
SAMPLE31	Treatment
SAMPLE32	Treatment
SAMPLE33	Treatment
SAMPLE34	Treatment
SAMPLE35	Treatment
SAMPLE36	Treatment
SAMPLE37	Treatment
SAMPLE38	Treatment
SAMPLE39	Treatment
SAMPLE40	Treatment
SAMPLE41	Treatment
SAMPLE42	Treatment
SAMPLE43	Treatment
SAMPLE44	Treatment
SAMPLE45	Treatment
SAMPLE46	Treatment
SAMPLE47	Treatment
SAMPLE48	Treatment
SAMPLE49	Treatment
SAMPLE50	Treatment
SAMPLE51	Treatment
SAMPLE52	Treatment
SAMPLE53	Treatment
SAMPLE54	Treatment
SAMPLE55	Treatment
SAMPLE56	Treatment
SAMPLE57	Treatment
SAMPLE58	Treatment
SAMPLE59	Treatment
SAMPLE60	Treatment
SAMPLE61	Treatment
SAMPLE62	Treatment
SAMPLE63	Treatment
SAMPLE64	Treatment
SAMPLE65	Treatment
SAMPLE66	Treatment
SAMPLE67	Treatment
SAMPLE68	Treatment
SAMPLE69	Treatment
SAMPLE70	Treatment
SAMPLE71	Treatment
SAMPLE72	Treatment
SAMPLE73	Treatment
SAMPLE74	Treatment
SAMPLE75	Treatment
SAMPLE76	Treatment
SAMPLE77	Treatment
SAMPLE78	Treatment
SAMPLE79	Treatment
SAMPLE80	Treatment
SAMPLE81	Treatment
SAMPLE82	Treatment
SAMPLE83	Treatment
SAMPLE84	Treatment
SAMPLE85	Control
SAMPLE86	Control
