gene	logFC	padj
KDM1A	0.701830294	0.000582458
DVL2	0.440643208	0.001620279
DHX33	-0.352893775	0.001198934
MSL3	-1.077839244	0.000171252
CREBBP	0.104176336	0.11356377
KMT2E	0.324541161	0.000775427
MYCBP2	-0.009366866	0.904791123
KDM7A	-0.06652317	0.757346341
PAF1	0.064606989	0.41810075
SS18L2	0.196019655	0.194002028
CRY1	-0.159012851	0.155528848
MED24	0.057873742	0.611964034
BAZ1B	-0.047545635	0.467541039
SCMH1	-0.467238452	0.002431891
MBTD1	0.066640216	0.493142485
DPF1	-0.225459574	0.32069572
BRCA1	-0.545940232	0.000945246
CALCOCO1	0.642072906	0.001089054
RNF14	0.032378363	0.802658069
UFL1	-0.168444836	0.029119663
SLC30A9	0.11044799	0.146414518
YAF2	-0.17377342	0.108823712
ZMYND11	-0.164935656	0.016666272
WWTR1	-0.302857087	0.019127023
MNAT1	-0.232205845	0.019935676
RNF10	-0.15724603	0.03580665
STRAP	-0.240775989	0.001715623
DEPDC1	-0.884772793	0.000648433
PHF20	-0.000567626	0.99703696
TBPL1	-0.471530562	0.001792717
MED17	-0.021764809	0.811858032
TPR	-0.089786884	0.209229803
HDAC9	-0.158146488	0.420377666
RSF1	0.196764528	0.005396801
ARHGEF5	-0.893068753	0.383613245
NRIP2	-0.121722609	0.747811855
THRAP3	-0.001066117	0.989241872
PHF21B	0.015990272	0.998313263
TARBP1	-0.430775489	0.00108953
CTDP1	0.162858679	0.04008409
CCAR1	-0.054899707	0.444549128
HDAC7	-0.086374734	0.509171099
LZTS1	0.168105341	0.879863499
SFSWAP	-0.026526168	0.799294239
MED29	0.243324144	0.001373634
RNF4	-0.185127392	0.005051909
TAF2	-0.040345165	0.710172168
HIPK2	-0.201172533	0.159490763
EYA2	0.354975638	0.585323121
DDX20	-0.157275371	0.093756047
TAF11	-0.347576157	0.000518274
SPEN	0.015437024	0.866589437
TLE2	0.712291294	0.017807265
CDK13	0.021060692	0.819741005
SMARCD1	-0.457878882	0.000154066
KDM4A	0.548841425	0.000351521
FGFR2	0.666037901	0.032815672
DNTTIP2	-0.103884211	0.234768406
TP53BP1	0.253889862	0.014310642
RHOA	-0.021561666	0.765851215
HYAL2	0.67817017	0.000457715
HDAC4	-0.257575921	0.071176856
SIRT2	-0.023255187	0.767386773
BCL3	0.063537943	0.770476155
ELP1	-0.10026043	0.227479623
JMJD6	-0.232232628	0.086403241
CSNK2A2	0.045070252	0.632563823
ING3	-0.110848998	0.276530035
LMCD1	-0.301455564	0.12611412
TRIP13	-0.42110978	0.007616137
HLTF	-0.695604601	0.000156189
ACTN1	-0.197111531	0.065478128
FBXW11	-0.405380337	0.000592786
KDM5A	0.315062364	0.008297568
PICALM	0.068417096	0.446227917
NOTCH3	0.942110304	0.018691364
EED	-0.310078209	0.038496375
TSG101	-0.073848123	0.239012612
ENO1	-0.181843561	0.101113943
ACTR6	0.006467879	0.962243269
ZNF638	0.127891685	0.15672216
ACTB	-0.317960774	0.01295443
SIRT6	0.265146989	0.018104447
ACTN2	0.185654614	0.82767921
JADE1	-0.426936414	0.002416746
FGFR1	-0.128559697	0.62812293
CBFA2T2	0.349932236	0.003877646
ITCH	-0.232974242	0.055151516
SENP1	-0.575329003	0.00013872
DDX1	0.099404848	0.223081209
SMARCA2	-0.366075421	0.214660041
SRCAP	0.046040112	0.60963354
PSEN1	0.178226025	0.075605516
RBL1	-0.046987528	0.619322058
